epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.18393829008613324,0.93906588308073,0.155756,0.938218,0.933443,0.931488
2,0.00029815325108927063,0.052324121779345374,0.982833281781627,0.095015,0.970546,0.955633,0.963788
3,0.00029265847744427303,0.0326497966646595,0.9896381070213424,0.059052,0.979167,0.975553,0.976775
4,0.0002836509786282552,0.04491105449852322,0.9865450046396536,0.08925,0.966236,0.962011,0.963082
5,0.0002713525491562421,0.022432611927394708,0.9927312094030313,0.111541,0.970546,0.968244,0.966764
6,0.0002560660171779821,0.033812082130917076,0.9879369007114136,0.07699,0.971983,0.965298,0.966984
7,0.000238167787843871,0.009561477340193233,0.9979894834519023,0.087412,0.967672,0.966983,0.963907
8,0.00021809857496093204,0.010574156272680517,0.9959789669038045,0.089247,0.966954,0.957864,0.962435
9,0.00019635254915624216,0.011082227241871271,0.9965975873801423,0.034056,0.987787,0.987588,0.986742
10,0.00017346516975603468,0.018403581300093005,0.9939684503557068,0.05726,0.982759,0.980746,0.981459
11,0.00015000000000000001,0.0063803373310833645,0.9982987936900711,0.045324,0.987787,0.986088,0.987256
12,0.0001265348302439654,0.005783497734111122,0.9987627590473245,0.068287,0.972701,0.971083,0.97356
13,0.0001036474508437579,0.014751072716056619,0.9958243117847201,0.068501,0.976293,0.972324,0.971111
14,8.190142503906799e-05,0.007082271199826666,0.9986081039282401,0.05772,0.979167,0.973768,0.976985
15,6.183221215612905e-05,0.0061135985996566096,0.9987627590473245,0.049113,0.983477,0.982125,0.982378
16,4.393398282201788e-05,0.0031478390802807607,0.9992267244045778,0.053595,0.98204,0.980439,0.979962
17,2.86474508437579e-05,0.0022044103469341264,0.9993813795236622,0.049875,0.984914,0.983212,0.984018
18,1.6349021371744834e-05,0.002899007848125473,0.9992267244045778,0.047771,0.984914,0.983212,0.984018
19,7.341522555726972e-06,0.0018661661926821737,0.9995360346427467,0.042276,0.984195,0.983787,0.983311
20,1.8467489107293517e-06,0.0019855686027569334,0.9996906897618311,0.057535,0.978448,0.977855,0.977045
