epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.18288438199586335,0.9350448499845345,0.126502,0.956178,0.948512,0.953946
2,0.00029815325108927063,0.0730466776649317,0.9763377667800804,0.160321,0.949713,0.949864,0.947887
3,0.00029265847744427303,0.03452913255246107,0.9897927621404269,0.075456,0.974856,0.968642,0.971629
4,0.0002836509786282552,0.04932438492074383,0.9836065573770492,0.079937,0.974138,0.970987,0.972597
5,0.0002713525491562421,0.0246137554454538,0.9922672440457779,0.11463,0.962644,0.953464,0.95674
6,0.0002560660171779821,0.013005913041377635,0.9959789669038045,0.090984,0.972701,0.974084,0.971456
7,0.000238167787843871,0.013113878918549537,0.9961336220228889,0.148388,0.961925,0.965763,0.958663
8,0.00021809857496093204,0.009303632255976612,0.9970615527373956,0.085729,0.974856,0.971091,0.972667
9,0.00019635254915624216,0.009922603594051069,0.99721620785648,0.103186,0.975575,0.968944,0.972901
10,0.00017346516975603468,0.017636505712343375,0.9927312094030313,0.069103,0.977011,0.970033,0.974027
11,0.00015000000000000001,0.007227367396845819,0.9978348283328178,0.131065,0.96408,0.950739,0.957702
12,0.0001265348302439654,0.005999182202002599,0.9982987936900711,0.08077,0.976293,0.968269,0.972916
13,0.0001036474508437579,0.0037223650064772216,0.9992267244045778,0.049106,0.98204,0.979275,0.978857
14,8.190142503906799e-05,0.010318650334308364,0.9973708629755645,0.017696,0.994253,0.992898,0.993668
15,6.183221215612905e-05,0.006517341805802312,0.9979894834519023,0.032258,0.990661,0.987293,0.988717
16,4.393398282201788e-05,0.003671819696181557,0.9990720692854933,0.069183,0.975575,0.967384,0.971374
17,2.86474508437579e-05,0.0033444966135694632,0.9993813795236622,0.059352,0.978448,0.976293,0.975328
18,1.6349021371744834e-05,0.003015368854228904,0.9993813795236622,0.046633,0.986351,0.984791,0.984409
19,7.341522555726972e-06,0.001935898833624394,0.9998453448809156,0.039979,0.984914,0.9836,0.983125
20,1.8467489107293517e-06,0.0018237952916127331,0.9998453448809156,0.062173,0.979885,0.979044,0.977067
