epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.4884724226758703,0.8770479252794365,0.240711,0.913793,0.903176,0.909602
2,0.00029815325108927063,0.34823290693177655,0.9255856683509417,0.210206,0.922414,0.928328,0.918989
3,0.00029265847744427303,0.31760415343116827,0.9358444342367171,0.197318,0.934626,0.910274,0.919037
4,0.0002836509786282552,0.3102112748441826,0.9330883478793447,0.136523,0.974138,0.973113,0.969765
5,0.0002713525491562421,0.2759845167731567,0.9415097228602052,0.267114,0.91523,0.887182,0.896134
6,0.0002560660171779821,0.27257589735073623,0.9381411728678609,0.216439,0.946839,0.9266,0.936078
7,0.000238167787843871,0.24988447363590907,0.9422753024039198,0.180916,0.939655,0.927746,0.933145
8,0.00021809857496093204,0.22278086779731246,0.9431939978563773,0.248558,0.916667,0.923211,0.903863
9,0.00019635254915624216,0.21167318183199185,0.9447251569438064,0.111012,0.961207,0.954381,0.956397
10,0.00017346516975603468,0.20291874027545612,0.9425815342214056,0.24831,0.926006,0.918646,0.917298
11,0.00015000000000000001,0.14684546046281843,0.9557495023732966,0.144465,0.956178,0.936705,0.945591
12,0.0001265348302439654,0.1271780760322223,0.9608023273618129,0.121667,0.966236,0.961886,0.961391
13,0.0001036474508437579,0.10102063500428068,0.9689174705251876,0.155245,0.956178,0.955455,0.950716
14,8.190142503906799e-05,0.0745389068191476,0.9751952227836472,0.130636,0.964799,0.959392,0.960957
15,6.183221215612905e-05,0.06579930910818099,0.9776450773235339,0.128205,0.956178,0.942512,0.949968
16,4.393398282201788e-05,0.05453333858719438,0.9834634818557648,0.097406,0.97342,0.96911,0.969456
17,2.86474508437579e-05,0.040043267057365814,0.9875976113918236,0.098739,0.970546,0.967359,0.967278
18,1.6349021371744834e-05,0.04043780018087369,0.9871382636655949,0.09777,0.969828,0.96507,0.966552
19,7.341522555726972e-06,0.035018086396904964,0.9883631909355381,0.094258,0.972701,0.969887,0.970157
20,1.8467489107293517e-06,0.0349553558257323,0.9889756545705098,0.0876,0.974856,0.971674,0.972623
