epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.23727580800355344,0.9240913477002252,0.143146,0.944684,0.946273,0.94053
2,0.00029815325108927063,0.12326031555228437,0.9718559022193631,0.405442,0.867098,0.83276,0.839601
3,0.00029265847744427303,0.09339683281599842,0.9760373110324864,0.152107,0.946839,0.931521,0.93905
4,0.0002836509786282552,0.07571135498205875,0.9811836603409456,0.117211,0.962644,0.959602,0.959128
5,0.0002713525491562421,0.07829090487960835,0.9794146027661628,0.160047,0.946839,0.950448,0.937123
6,0.0002560660171779821,0.06352072495945582,0.9847217754905114,0.136992,0.953305,0.952363,0.949645
7,0.000238167787843871,0.05923098302723396,0.9855258925699582,0.090484,0.968391,0.964861,0.965194
8,0.00021809857496093204,0.04283707476756932,0.989064007719524,0.157066,0.944684,0.941807,0.935264
9,0.00019635254915624216,0.03592535068314545,0.9897073013830814,0.17435,0.948276,0.931016,0.938139
10,0.00017346516975603468,0.03106108488890664,0.9908330652943068,0.133996,0.962644,0.952741,0.957875
11,0.00015000000000000001,0.02540860312876114,0.9932454165326472,0.086328,0.966954,0.964442,0.961425
12,0.0001265348302439654,0.01907526850493684,0.9937278867803152,0.062838,0.97773,0.973069,0.974419
13,0.0001036474508437579,0.01386128677173265,0.9956577677709875,0.064905,0.976293,0.975595,0.974392
14,8.190142503906799e-05,0.014347284715940194,0.9953361209392088,0.04872,0.984914,0.979614,0.982715
15,6.183221215612905e-05,0.011465087815816342,0.9958185911868768,0.100812,0.967672,0.961518,0.962016
16,4.393398282201788e-05,0.006585638214064248,0.9983917658411064,0.06233,0.979885,0.978655,0.976903
17,2.86474508437579e-05,0.00443645520959542,0.9993567063364426,0.050659,0.985632,0.982637,0.983589
18,1.6349021371744834e-05,0.0048047405763161685,0.9988742360887746,0.042718,0.985632,0.982637,0.983589
19,7.341522555726972e-06,0.0037862437260635234,0.9991958829205533,0.050783,0.983477,0.97929,0.981203
20,1.8467489107293517e-06,0.0030729071087068818,0.9996783531682213,0.048892,0.984195,0.981057,0.981976
