epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.2546573625080364,0.9088960342979635,0.39558,0.899425,0.903938,0.890267
2,0.00029815325108927063,0.1324932265292629,0.9536058796508957,0.21568,0.933908,0.91307,0.924899
3,0.00029265847744427303,0.1080659054957822,0.9595774000918695,0.145439,0.951868,0.946551,0.947735
4,0.0002836509786282552,0.1500772312340556,0.9451845046700352,0.101579,0.969109,0.964538,0.966081
5,0.0002713525491562421,0.10379253231790964,0.9627928341754708,0.20704,0.936782,0.935589,0.927403
6,0.0002560660171779821,0.09031347238420619,0.9658551523503291,0.465708,0.903736,0.889643,0.899016
7,0.000238167787843871,0.10852568926635627,0.9608023273618129,0.097898,0.970546,0.962305,0.966815
8,0.00021809857496093204,0.08433198245264198,0.9664676159853008,0.110284,0.971983,0.964036,0.969145
9,0.00019635254915624216,0.07431329402840442,0.9715204409738172,0.11018,0.965517,0.956609,0.960987
10,0.00017346516975603468,0.0700460011622927,0.9707548614301026,0.082411,0.979167,0.97533,0.977147
11,0.00015000000000000001,0.06439250934931225,0.9739702955137038,0.075621,0.977011,0.970426,0.974076
12,0.0001265348302439654,0.0573574245624376,0.9761139182361047,0.114198,0.970546,0.962728,0.966433
13,0.0001036474508437579,0.056918111882329245,0.9762670341448476,0.126411,0.95977,0.94991,0.951468
14,8.190142503906799e-05,0.04827783069905744,0.9820854386770785,0.085887,0.965517,0.955835,0.960338
15,6.183221215612905e-05,0.04261966960830065,0.9817792068595927,0.066469,0.981322,0.976338,0.978986
16,4.393398282201788e-05,0.041003245395532524,0.9839228295819936,0.118902,0.961925,0.95364,0.954702
17,2.86474508437579e-05,0.03261255820073179,0.9874444954830807,0.107397,0.962644,0.955014,0.957129
18,1.6349021371744834e-05,0.030313429013306744,0.9877507273005666,0.107217,0.960489,0.948938,0.953402
19,7.341522555726972e-06,0.025405171104693848,0.9909661613841678,0.093297,0.962644,0.952282,0.956617
20,1.8467489107293517e-06,0.024630905411506646,0.9911192772929107,0.09215,0.964799,0.955629,0.959218
