epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.2664678648545953,0.9021143304620204,0.173174,0.950431,0.949578,0.949121
2,0.00029815325108927063,0.12367651437816904,0.952858261550509,0.211932,0.9375,0.93818,0.930065
3,0.00029265847744427303,0.12137125021513309,0.9553641346906813,0.203639,0.954023,0.944779,0.949851
4,0.0002836509786282552,0.1001989353573593,0.9624119028974158,0.175393,0.948994,0.926168,0.939331
5,0.0002713525491562421,0.09289994906333619,0.9639780736100235,0.129185,0.965517,0.955477,0.95945
6,0.0002560660171779821,0.08004361739733673,0.9688332028191072,0.148589,0.943966,0.926693,0.932204
7,0.000238167787843871,0.0808190072648163,0.9678935003915426,0.117409,0.969109,0.968998,0.965378
8,0.00021809857496093204,0.08906833619439425,0.9641346906812842,0.089175,0.979885,0.974015,0.977258
9,0.00019635254915624216,0.07089350198803232,0.9711824588880188,0.091595,0.975575,0.966065,0.971454
10,0.00017346516975603468,0.06686958058408302,0.9746280344557556,0.175598,0.951149,0.936517,0.941224
11,0.00015000000000000001,0.06142806851871373,0.9769772905246672,0.096849,0.97342,0.964327,0.969306
12,0.0001265348302439654,0.057261477640670265,0.9779169929522318,0.112049,0.971983,0.961966,0.967708
13,0.0001036474508437579,0.04663306557769926,0.9801096319498825,0.083638,0.976293,0.969048,0.973007
14,8.190142503906799e-05,0.03961829767798015,0.9843382928739233,0.108036,0.962644,0.953064,0.955709
15,6.183221215612905e-05,0.03747203106187523,0.9860610806577917,0.065966,0.979885,0.973586,0.976974
16,4.393398282201788e-05,0.02983178449743599,0.9877838684416601,0.076093,0.97773,0.971022,0.973236
17,2.86474508437579e-05,0.027501181755200343,0.9901331245105717,0.063252,0.977011,0.970425,0.973222
18,1.6349021371744834e-05,0.023491605129116633,0.9904463586530932,0.06747,0.977011,0.969255,0.973147
19,7.341522555726972e-06,0.021063708194685383,0.9926389976507439,0.070835,0.974856,0.966299,0.970558
20,1.8467489107293517e-06,0.017917674350477142,0.9937353171495693,0.068053,0.976293,0.968659,0.972237
