epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.2248221230744942,0.9227877838684416,0.21115,0.931753,0.934104,0.921396
2,0.00029815325108927063,0.10412011467322953,0.9658574784651527,0.164748,0.945402,0.944827,0.941777
3,0.00029265847744427303,0.10469562364632765,0.9641346906812842,0.170501,0.946839,0.936647,0.941578
4,0.0002836509786282552,0.07131706516469188,0.9758809710258418,0.170069,0.934626,0.912491,0.921263
5,0.0002713525491562421,0.06751312562027478,0.9763508222396241,0.128478,0.966236,0.957696,0.960621
6,0.0002560660171779821,0.056499066083059706,0.9801096319498825,0.091168,0.97342,0.971776,0.969714
7,0.000238167787843871,0.05223642755693631,0.9823022709475333,0.069176,0.98204,0.979532,0.981497
8,0.00021809857496093204,0.055926410462955246,0.980422866092404,0.086179,0.97773,0.97102,0.97415
9,0.00019635254915624216,0.0429765083311095,0.9848081440877056,0.084191,0.976293,0.967878,0.972671
10,0.00017346516975603468,0.03596201953036928,0.9862176977290524,0.091073,0.972701,0.963886,0.968875
11,0.00015000000000000001,0.03595861020317839,0.9866875489428347,0.075527,0.980603,0.974571,0.978162
12,0.0001265348302439654,0.03150685186391753,0.9879404855129209,0.078166,0.966954,0.961225,0.962847
13,0.0001036474508437579,0.025918441296671063,0.9901331245105717,0.072562,0.977011,0.969949,0.974031
14,8.190142503906799e-05,0.02087973259993265,0.9923257635082224,0.060228,0.983477,0.978718,0.981439
15,6.183221215612905e-05,0.017107628637104504,0.993265465935787,0.084904,0.980603,0.9735,0.977982
16,4.393398282201788e-05,0.01575237728207545,0.9942051683633516,0.060863,0.98204,0.977812,0.980359
17,2.86474508437579e-05,0.012715268770149656,0.995301487862177,0.084572,0.975575,0.968842,0.972009
18,1.6349021371744834e-05,0.00822547378270838,0.9974941268598277,0.084051,0.980603,0.974569,0.97805
19,7.341522555726972e-06,0.011242402150664339,0.9957713390759593,0.082844,0.979885,0.972515,0.977098
20,1.8467489107293517e-06,0.008836735629815917,0.9967110415035239,0.082412,0.979167,0.97231,0.976419
