epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.17337997798221688,0.9387536365028326,0.306793,0.904454,0.88944,0.893088
2,0.00029815325108927063,0.06671887060293372,0.9777981932322768,0.136961,0.960489,0.95348,0.957446
3,0.00029265847744427303,0.03818735823005579,0.986985147756852,0.19354,0.949713,0.953402,0.94363
4,0.0002836509786282552,0.05682934056998869,0.9805542795896494,0.435164,0.882902,0.901241,0.88551
5,0.0002713525491562421,0.0377938293822875,0.9871382636655949,0.225501,0.931034,0.921841,0.918851
6,0.0002560660171779821,0.02895776302083275,0.990659929566682,0.11871,0.961207,0.948763,0.954706
7,0.000238167787843871,0.045076296607876896,0.9859133363956515,0.093586,0.971264,0.968798,0.967717
8,0.00021809857496093204,0.011370147165305178,0.9973970295513704,0.069979,0.974856,0.972154,0.973334
9,0.00019635254915624216,0.008877746271440947,0.9970907977338845,0.077873,0.97773,0.975311,0.974656
10,0.00017346516975603468,0.026096348210546363,0.9920379727453682,0.089376,0.970546,0.965847,0.966674
11,0.00015000000000000001,0.01564582183448302,0.996172102281427,0.048022,0.983477,0.981243,0.982031
12,0.0001265348302439654,0.004721397554832438,0.9984688409125708,0.05967,0.98204,0.978103,0.978661
13,0.0001036474508437579,0.005012182907853461,0.9990813045475425,0.071862,0.980603,0.974571,0.977705
14,8.190142503906799e-05,0.003547986631389052,0.9990813045475425,0.0607,0.97773,0.970443,0.974538
15,6.183221215612905e-05,0.0049643656357271785,0.9989281886387996,0.062909,0.977011,0.969456,0.973666
16,4.393398282201788e-05,0.0037580463499576736,0.9987750727300566,0.043172,0.983477,0.978902,0.980406
17,2.86474508437579e-05,0.0018397501025698558,0.9995406522737712,0.042621,0.982759,0.978305,0.979251
18,1.6349021371744834e-05,0.0018330079785278208,0.9993875363650283,0.043869,0.984195,0.979887,0.98157
19,7.341522555726972e-06,0.001606134246750158,0.9996937681825142,0.042316,0.984195,0.979495,0.981606
20,1.8467489107293517e-06,0.0024464889172116093,0.9996937681825142,0.041029,0.982759,0.977525,0.979267
