dataset,sample_id,finding,trusted_value,candidate_value
label_flip_05,classification/train/0/00041.jpg,label_changed,0,3
label_flip_05,classification/train/0/00101.jpg,label_changed,0,3
label_flip_05,classification/train/0/00244.jpg,label_changed,0,1
label_flip_05,classification/train/0/00378.jpg,label_changed,0,1
label_flip_05,classification/train/0/00447.jpg,label_changed,0,1
label_flip_05,classification/train/0/00609.jpg,label_changed,0,1
label_flip_05,classification/train/0/00806.jpg,label_changed,0,1
label_flip_05,classification/train/0/00861.jpg,label_changed,0,5
label_flip_05,classification/train/0/00994.jpg,label_changed,0,4
label_flip_05,classification/train/0/01055.jpg,label_changed,0,5
label_flip_05,classification/train/0/01104.jpg,label_changed,0,4
label_flip_05,classification/train/1/01116.jpg,label_changed,1,5
label_flip_05,classification/train/1/01125.jpg,label_changed,1,0
label_flip_05,classification/train/1/01179.jpg,label_changed,1,0
label_flip_05,classification/train/1/01201.jpg,label_changed,1,3
label_flip_05,classification/train/1/01228.jpg,label_changed,1,3
label_flip_05,classification/train/1/01318.jpg,label_changed,1,0
label_flip_05,classification/train/1/01331.jpg,label_changed,1,4
label_flip_05,classification/train/1/01342.jpg,label_changed,1,3
label_flip_05,classification/train/1/01349.jpg,label_changed,1,3
label_flip_05,classification/train/1/01449.jpg,label_changed,1,5
label_flip_05,classification/train/1/01458.jpg,label_changed,1,0
label_flip_05,classification/train/1/01462.jpg,label_changed,1,3
label_flip_05,classification/train/1/01549.jpg,label_changed,1,4
label_flip_05,classification/train/1/01550.jpg,label_changed,1,5
label_flip_05,classification/train/1/01559.jpg,label_changed,1,4
label_flip_05,classification/train/1/01588.jpg,label_changed,1,0
label_flip_05,classification/train/3/01945.jpg,label_changed,3,4
label_flip_05,classification/train/3/02019.jpg,label_changed,3,1
label_flip_05,classification/train/3/02063.jpg,label_changed,3,0
label_flip_05,classification/train/3/02112.jpg,label_changed,3,1
label_flip_05,classification/train/3/02129.jpg,label_changed,3,1
label_flip_05,classification/train/3/02168.jpg,label_changed,3,0
label_flip_05,classification/train/3/02262.jpg,label_changed,3,1
label_flip_05,classification/train/3/02370.jpg,label_changed,3,5
label_flip_05,classification/train/3/02731.jpg,label_changed,3,1
label_flip_05,classification/train/3/02813.jpg,label_changed,3,4
label_flip_05,classification/train/3/02873.jpg,label_changed,3,4
label_flip_05,classification/train/4/03126.jpg,label_changed,4,5
label_flip_05,classification/train/4/03140.jpg,label_changed,4,1
label_flip_05,classification/train/4/03221.jpg,label_changed,4,0
label_flip_05,classification/train/4/03260.jpg,label_changed,4,0
label_flip_05,classification/train/4/03272.jpg,label_changed,4,5
label_flip_05,classification/train/4/03387.jpg,label_changed,4,0
label_flip_05,classification/train/4/03399.jpg,label_changed,4,3
label_flip_05,classification/train/5/03429.jpg,label_changed,5,3
label_flip_05,classification/train/5/03495.jpg,label_changed,5,1
label_flip_05,classification/train/5/03631.jpg,label_changed,5,0
label_flip_05,classification/train/5/03734.jpg,label_changed,5,4
label_flip_05,classification/train/5/03893.jpg,label_changed,5,1
label_flip_10,classification/train/0/00002.jpg,label_changed,0,1
label_flip_10,classification/train/0/00055.jpg,label_changed,0,1
label_flip_10,classification/train/0/00081.jpg,label_changed,0,1
label_flip_10,classification/train/0/00131.jpg,label_changed,0,1
label_flip_10,classification/train/0/00160.jpg,label_changed,0,4
label_flip_10,classification/train/0/00180.jpg,label_changed,0,1
label_flip_10,classification/train/0/00196.jpg,label_changed,0,5
label_flip_10,classification/train/0/00330.jpg,label_changed,0,4
label_flip_10,classification/train/0/00378.jpg,label_changed,0,1
label_flip_10,classification/train/0/00497.jpg,label_changed,0,4
label_flip_10,classification/train/0/00504.jpg,label_changed,0,3
label_flip_10,classification/train/0/00510.jpg,label_changed,0,1
label_flip_10,classification/train/0/00621.jpg,label_changed,0,3
label_flip_10,classification/train/0/00730.jpg,label_changed,0,1
label_flip_10,classification/train/0/00742.jpg,label_changed,0,4
label_flip_10,classification/train/0/00798.jpg,label_changed,0,4
label_flip_10,classification/train/0/00862.jpg,label_changed,0,4
label_flip_10,classification/train/0/00886.jpg,label_changed,0,1
label_flip_10,classification/train/0/00949.jpg,label_changed,0,5
label_flip_10,classification/train/0/00959.jpg,label_changed,0,4
label_flip_10,classification/train/0/00963.jpg,label_changed,0,4
label_flip_10,classification/train/0/00973.jpg,label_changed,0,4
label_flip_10,classification/train/0/00986.jpg,label_changed,0,1
label_flip_10,classification/train/1/01130.jpg,label_changed,1,3
label_flip_10,classification/train/1/01162.jpg,label_changed,1,4
label_flip_10,classification/train/1/01168.jpg,label_changed,1,3
label_flip_10,classification/train/1/01223.jpg,label_changed,1,0
label_flip_10,classification/train/1/01266.jpg,label_changed,1,5
label_flip_10,classification/train/1/01267.jpg,label_changed,1,0
label_flip_10,classification/train/1/01299.jpg,label_changed,1,5
label_flip_10,classification/train/1/01343.jpg,label_changed,1,0
label_flip_10,classification/train/1/01351.jpg,label_changed,1,3
label_flip_10,classification/train/1/01357.jpg,label_changed,1,5
label_flip_10,classification/train/1/01411.jpg,label_changed,1,5
label_flip_10,classification/train/1/01485.jpg,label_changed,1,3
label_flip_10,classification/train/1/01501.jpg,label_changed,1,5
label_flip_10,classification/train/1/01516.jpg,label_changed,1,3
label_flip_10,classification/train/1/01582.jpg,label_changed,1,3
label_flip_10,classification/train/1/01594.jpg,label_changed,1,5
label_flip_10,classification/train/3/01897.jpg,label_changed,3,1
label_flip_10,classification/train/3/01947.jpg,label_changed,3,4
label_flip_10,classification/train/3/01978.jpg,label_changed,3,0
label_flip_10,classification/train/3/02019.jpg,label_changed,3,0
label_flip_10,classification/train/3/02020.jpg,label_changed,3,4
label_flip_10,classification/train/3/02060.jpg,label_changed,3,0
label_flip_10,classification/train/3/02074.jpg,label_changed,3,0
label_flip_10,classification/train/3/02121.jpg,label_changed,3,5
label_flip_10,classification/train/3/02139.jpg,label_changed,3,0
label_flip_10,classification/train/3/02156.jpg,label_changed,3,0
label_flip_10,classification/train/3/02197.jpg,label_changed,3,1
label_flip_10,classification/train/3/02313.jpg,label_changed,3,1
label_flip_10,classification/train/3/02388.jpg,label_changed,3,0
label_flip_10,classification/train/3/02418.jpg,label_changed,3,1
label_flip_10,classification/train/3/02421.jpg,label_changed,3,1
label_flip_10,classification/train/3/02528.jpg,label_changed,3,1
label_flip_10,classification/train/3/02573.jpg,label_changed,3,5
label_flip_10,classification/train/3/02577.jpg,label_changed,3,1
label_flip_10,classification/train/3/02634.jpg,label_changed,3,1
label_flip_10,classification/train/3/02744.jpg,label_changed,3,1
label_flip_10,classification/train/3/02749.jpg,label_changed,3,0
label_flip_10,classification/train/3/02752.jpg,label_changed,3,4
label_flip_10,classification/train/3/02790.jpg,label_changed,3,4
label_flip_10,classification/train/3/02793.jpg,label_changed,3,1
label_flip_10,classification/train/3/02821.jpg,label_changed,3,4
label_flip_10,classification/train/4/02923.jpg,label_changed,4,3
label_flip_10,classification/train/4/02926.jpg,label_changed,4,5
label_flip_10,classification/train/4/02948.jpg,label_changed,4,1
label_flip_10,classification/train/4/02996.jpg,label_changed,4,5
label_flip_10,classification/train/4/03036.jpg,label_changed,4,0
label_flip_10,classification/train/4/03055.jpg,label_changed,4,0
label_flip_10,classification/train/4/03060.jpg,label_changed,4,5
label_flip_10,classification/train/4/03148.jpg,label_changed,4,1
label_flip_10,classification/train/4/03194.jpg,label_changed,4,5
label_flip_10,classification/train/4/03233.jpg,label_changed,4,0
label_flip_10,classification/train/4/03336.jpg,label_changed,4,1
label_flip_10,classification/train/4/03359.jpg,label_changed,4,3
label_flip_10,classification/train/4/03413.jpg,label_changed,4,5
label_flip_10,classification/train/4/03415.jpg,label_changed,4,0
label_flip_10,classification/train/5/03452.jpg,label_changed,5,0
label_flip_10,classification/train/5/03465.jpg,label_changed,5,1
label_flip_10,classification/train/5/03479.jpg,label_changed,5,0
label_flip_10,classification/train/5/03495.jpg,label_changed,5,0
label_flip_10,classification/train/5/03504.jpg,label_changed,5,4
label_flip_10,classification/train/5/03530.jpg,label_changed,5,1
label_flip_10,classification/train/5/03537.jpg,label_changed,5,0
label_flip_10,classification/train/5/03542.jpg,label_changed,5,1
