epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.2311311626434327,0.499,1.243441,0.57377,0.529192,0.525156
2,0.00029815325108927063,0.8297244348526001,0.674,1.18501,0.57377,0.594198,0.587812
3,0.00029265847744427303,0.6169023761749267,0.766,1.202459,0.592896,0.598658,0.584025
4,0.0002836509786282552,0.4309014039039612,0.848,1.06196,0.672131,0.664394,0.654788
5,0.0002713525491562421,0.3875393112897873,0.861,1.181532,0.647541,0.623937,0.612224
6,0.0002560660171779821,0.3095343961715698,0.891,1.36265,0.598361,0.606583,0.595529
7,0.000238167787843871,0.22376013708114623,0.923,1.226498,0.625683,0.614883,0.606656
8,0.00021809857496093204,0.18367120289802552,0.94,1.379896,0.625683,0.617009,0.601267
9,0.00019635254915624216,0.16380673253536224,0.946,1.426681,0.628415,0.61586,0.604589
10,0.00017346516975603468,0.13076523327827452,0.962,1.253106,0.628415,0.625997,0.610433
11,0.00015000000000000001,0.09272099602222443,0.967,1.514749,0.622951,0.634329,0.617481
12,0.0001265348302439654,0.1116710901260376,0.966,1.397496,0.666667,0.667375,0.653143
13,0.0001036474508437579,0.07527821505069733,0.973,1.35112,0.631148,0.630507,0.619748
14,8.190142503906799e-05,0.05315077006816864,0.987,1.333835,0.653005,0.642808,0.634746
15,6.183221215612905e-05,0.0498161484003067,0.988,1.313482,0.68306,0.669331,0.65988
16,4.393398282201788e-05,0.05002641844749451,0.983,1.354066,0.674863,0.665532,0.653657
17,2.86474508437579e-05,0.04028324282169342,0.987,1.356431,0.677596,0.663179,0.653227
18,1.6349021371744834e-05,0.03440262770652771,0.99,1.349448,0.680328,0.669391,0.65838
19,7.341522555726972e-06,0.03577841663360596,0.994,1.336568,0.663934,0.65222,0.645453
20,1.8467489107293517e-06,0.03297597336769104,0.989,1.314853,0.661202,0.650589,0.644903
