epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.4206639213562011,0.44,1.213568,0.576503,0.518229,0.515803
2,0.00029815325108927063,1.03710595703125,0.613,1.244758,0.527322,0.573745,0.538556
3,0.00029265847744427303,0.8071724319458008,0.71,1.102384,0.587432,0.581303,0.569385
4,0.0002836509786282552,0.6455253343582154,0.767,1.312007,0.576503,0.596095,0.580768
5,0.0002713525491562421,0.5948179340362549,0.782,1.410628,0.546448,0.544207,0.528637
6,0.0002560660171779821,0.5115950765609741,0.822,1.331606,0.568306,0.582415,0.564498
7,0.000238167787843871,0.3808411531448364,0.873,1.39072,0.595628,0.566804,0.563593
8,0.00021809857496093204,0.29639139890670774,0.9,1.271374,0.631148,0.606615,0.604699
9,0.00019635254915624216,0.2853682096004486,0.904,1.549359,0.581967,0.591941,0.579054
10,0.00017346516975603468,0.26160271668434143,0.913,1.368284,0.592896,0.577681,0.568574
11,0.00015000000000000001,0.1750766406059265,0.937,1.453302,0.598361,0.592318,0.5781
12,0.0001265348302439654,0.18344763541221618,0.94,1.451031,0.592896,0.580729,0.575191
13,0.0001036474508437579,0.16979005670547484,0.945,1.37987,0.639344,0.626692,0.619047
14,8.190142503906799e-05,0.12618114531040192,0.949,1.395123,0.625683,0.624172,0.61213
15,6.183221215612905e-05,0.1133477029800415,0.961,1.353804,0.653005,0.630562,0.622961
16,4.393398282201788e-05,0.10113902938365936,0.958,1.374373,0.639344,0.626107,0.615391
17,2.86474508437579e-05,0.0907158831357956,0.971,1.373764,0.639344,0.624153,0.615415
18,1.6349021371744834e-05,0.08637180423736572,0.967,1.384403,0.650273,0.635937,0.626148
19,7.341522555726972e-06,0.09232830035686493,0.971,1.419457,0.636612,0.613722,0.610845
20,1.8467489107293517e-06,0.08051272928714752,0.972,1.391395,0.63388,0.612336,0.609377
