epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.270279312133789,0.477,1.271173,0.530055,0.51712,0.500447
2,0.00029815325108927063,0.8795292530059814,0.66,1.49713,0.428962,0.519923,0.468337
3,0.00029265847744427303,0.6660011444091797,0.746,1.117703,0.571038,0.583567,0.573168
4,0.0002836509786282552,0.49671971559524536,0.835,1.097484,0.576503,0.596628,0.588886
5,0.0002713525491562421,0.43724162340164185,0.846,1.190588,0.631148,0.603315,0.594714
6,0.0002560660171779821,0.4017690715789795,0.855,1.244744,0.57377,0.593977,0.585613
7,0.000238167787843871,0.26306010341644287,0.912,1.586696,0.540984,0.56542,0.560956
8,0.00021809857496093204,0.23683204054832457,0.925,1.383004,0.554645,0.58605,0.558916
9,0.00019635254915624216,0.20805156731605529,0.927,1.385598,0.603825,0.620417,0.604324
10,0.00017346516975603468,0.16651810312271118,0.951,1.265868,0.603825,0.624049,0.607794
11,0.00015000000000000001,0.1576855466365814,0.947,1.415502,0.595628,0.609295,0.590035
12,0.0001265348302439654,0.16183759307861328,0.945,1.399336,0.603825,0.628216,0.605596
13,0.0001036474508437579,0.11303667223453522,0.965,1.311256,0.620219,0.630241,0.61901
14,8.190142503906799e-05,0.09441397905349731,0.965,1.418683,0.592896,0.617195,0.600413
15,6.183221215612905e-05,0.09430870282649993,0.973,1.298276,0.612022,0.625002,0.615563
16,4.393398282201788e-05,0.077945277094841,0.97,1.326261,0.601093,0.613056,0.601075
17,2.86474508437579e-05,0.07622912967205048,0.973,1.345537,0.617486,0.630713,0.617213
18,1.6349021371744834e-05,0.06709111154079438,0.977,1.334628,0.60929,0.618631,0.607588
19,7.341522555726972e-06,0.066188490152359,0.981,1.364325,0.598361,0.61142,0.602871
20,1.8467489107293517e-06,0.06207915604114533,0.979,1.323135,0.60929,0.618713,0.612225
