epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5528475009850439,0.8116751269035533,0.390841,0.866,0.866,0.864685
2,0.00029815325108927063,0.31590170878444224,0.8961928934010153,0.460045,0.846,0.846,0.844301
3,0.00029265847744427303,0.24484220304464932,0.9192893401015229,0.468353,0.862,0.862,0.863713
4,0.0002836509786282552,0.23081380764239937,0.9185279187817259,0.369562,0.88,0.88,0.879883
5,0.0002713525491562421,0.14705067815514386,0.950507614213198,0.30924,0.887,0.887,0.887031
6,0.0002560660171779821,0.08670475113815462,0.9756345177664975,0.311362,0.902,0.902,0.902571
7,0.000238167787843871,0.07611222370021839,0.9741116751269036,0.28051,0.908,0.908,0.90828
8,0.00021809857496093204,0.061759288238389845,0.9809644670050761,0.351075,0.894,0.894,0.893413
9,0.00019635254915624216,0.07941722782130169,0.9728426395939086,0.332376,0.898,0.898,0.897984
10,0.00017346516975603468,0.0707459488798519,0.9794416243654822,0.30168,0.914,0.914,0.914011
11,0.00015000000000000001,0.032841219635784326,0.9906091370558375,0.257133,0.916,0.916,0.915853
12,0.0001265348302439654,0.019491665193877246,0.9949238578680203,0.235003,0.923,0.923,0.92255
13,0.0001036474508437579,0.02116619448371345,0.9949238578680203,0.258167,0.919,0.919,0.918826
14,8.190142503906799e-05,0.015138894077484984,0.9964467005076142,0.231296,0.927,0.927,0.927064
15,6.183221215612905e-05,0.010105930881451834,0.998730964467005,0.225714,0.922,0.922,0.922178
16,4.393398282201788e-05,0.008416413474203972,0.9982233502538072,0.216855,0.929,0.929,0.929128
17,2.86474508437579e-05,0.010963202491024424,0.9982233502538072,0.224578,0.928,0.928,0.927761
18,1.6349021371744834e-05,0.010156450991703168,0.9984771573604061,0.223091,0.926,0.926,0.926022
19,7.341522555726972e-06,0.005837093301230881,0.999746192893401,0.21918,0.93,0.93,0.930239
20,1.8467489107293517e-06,0.00745152652566203,0.9984771573604061,0.212649,0.932,0.932,0.931853
