epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5510720527716699,0.8142131979695432,0.388625,0.865,0.865,0.860179
2,0.00029815325108927063,0.294704353506795,0.8979695431472081,0.401241,0.867,0.867,0.866003
3,0.00029265847744427303,0.21907839260730647,0.9253807106598985,0.339244,0.894,0.894,0.894036
4,0.0002836509786282552,0.17606372927046063,0.9423857868020304,0.394736,0.884,0.884,0.881642
5,0.0002713525491562421,0.17323304242289006,0.9441624365482234,0.401775,0.866,0.866,0.864539
6,0.0002560660171779821,0.14577078489482706,0.9507614213197969,0.300911,0.909,0.909,0.908729
7,0.000238167787843871,0.10475084327804256,0.9647208121827411,0.332225,0.899,0.899,0.898743
8,0.00021809857496093204,0.061636333235629316,0.9809644670050761,0.28772,0.91,0.91,0.910437
9,0.00019635254915624216,0.045158066574087,0.9883248730964467,0.267727,0.916,0.916,0.915437
10,0.00017346516975603468,0.05030138704377383,0.9852791878172589,0.274541,0.921,0.921,0.921676
11,0.00015000000000000001,0.025310957673842532,0.9931472081218274,0.283313,0.911,0.911,0.911079
12,0.0001265348302439654,0.029098852394801106,0.9916243654822335,0.271986,0.922,0.922,0.921959
13,0.0001036474508437579,0.0231095028105121,0.9944162436548223,0.240514,0.933,0.933,0.932648
14,8.190142503906799e-05,0.014436677960574929,0.9967005076142132,0.236589,0.925,0.925,0.924602
15,6.183221215612905e-05,0.016706148077388704,0.9967005076142132,0.270538,0.924,0.924,0.923684
16,4.393398282201788e-05,0.012418530374614115,0.9961928934010152,0.248804,0.933,0.933,0.932901
17,2.86474508437579e-05,0.011813844188215768,0.9967005076142132,0.241282,0.934,0.934,0.933898
18,1.6349021371744834e-05,0.006171407554355369,0.999492385786802,0.241982,0.934,0.934,0.933685
19,7.341522555726972e-06,0.006417392534652943,0.998730964467005,0.246819,0.935,0.935,0.934691
20,1.8467489107293517e-06,0.008038370439848924,0.999238578680203,0.245734,0.93,0.93,0.929931
