epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5490871507529804,0.8230163196398425,0.519729,0.829,0.829,0.827808
2,0.00029815325108927063,0.29725966603821696,0.9009566685424873,0.454857,0.856,0.856,0.855381
3,0.00029265847744427303,0.252619454413904,0.9153066966797974,0.427996,0.859,0.859,0.857389
4,0.0002836509786282552,0.2006789256698574,0.9355655599324705,0.444529,0.877,0.877,0.876767
5,0.0002713525491562421,0.11726523334549328,0.9631401238041644,0.340344,0.884,0.884,0.882761
6,0.0002560660171779821,0.12429456517611855,0.9580754079909961,0.404599,0.871,0.871,0.869283
7,0.000238167787843871,0.1135967935681276,0.9625773776027012,0.315259,0.9,0.9,0.899225
8,0.00021809857496093204,0.06397554994501554,0.979741136747327,0.337556,0.897,0.897,0.896611
9,0.00019635254915624216,0.04921447180869811,0.9876195835678109,0.258324,0.92,0.92,0.919969
10,0.00017346516975603468,0.0478673867784864,0.9850872256612268,0.296063,0.906,0.906,0.906539
11,0.00015000000000000001,0.039900216582657314,0.9895891952729319,0.269672,0.923,0.923,0.922971
12,0.0001265348302439654,0.03843293118892792,0.990151941474395,0.27654,0.919,0.919,0.918862
13,0.0001036474508437579,0.02157291426172938,0.9946539110861001,0.277136,0.925,0.925,0.924527
14,8.190142503906799e-05,0.012506607817208156,0.9971862689926843,0.243078,0.927,0.927,0.926848
15,6.183221215612905e-05,0.013750105676989107,0.9971862689926843,0.235946,0.926,0.926,0.926017
16,4.393398282201788e-05,0.008135632477117913,0.9985931344963421,0.233977,0.933,0.933,0.932853
17,2.86474508437579e-05,0.00980536462754833,0.9988745075970737,0.230071,0.93,0.93,0.930029
18,1.6349021371744834e-05,0.008197948009563956,0.9985931344963421,0.237387,0.93,0.93,0.930182
19,7.341522555726972e-06,0.0072225455695749605,0.9983117613956106,0.235696,0.932,0.932,0.931644
20,1.8467489107293517e-06,0.008115814653889275,0.9985931344963421,0.22231,0.933,0.933,0.93284
