epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6150502779231983,0.7846233497281905,0.59282,0.79,0.79,0.787062
2,0.00029815325108927063,0.35270028990875896,0.8804038312192597,0.364552,0.876,0.876,0.87622
3,0.00029265847744427303,0.28791648316130314,0.9005953921822418,0.470549,0.855,0.855,0.854315
4,0.0002836509786282552,0.21254749731128153,0.9295884027957546,0.489865,0.863,0.863,0.857169
5,0.0002713525491562421,0.18911586294142102,0.9347657261195962,0.351158,0.885,0.885,0.885249
6,0.0002560660171779821,0.15121846075560064,0.9477090344292001,0.363489,0.885,0.885,0.886464
7,0.000238167787843871,0.12361794991749975,0.9585814134092674,0.331748,0.906,0.906,0.905816
8,0.00021809857496093204,0.09572037417897745,0.9676417292259901,0.340953,0.9,0.9,0.90003
9,0.00019635254915624216,0.07087463703669016,0.9777375097074812,0.304234,0.899,0.899,0.898424
10,0.00017346516975603468,0.05435769800834479,0.9823971006989386,0.319016,0.903,0.903,0.902742
11,0.00015000000000000001,0.043222749074899314,0.9862800931918199,0.291519,0.907,0.907,0.906875
12,0.0001265348302439654,0.01973275462039627,0.9950815428423505,0.276088,0.914,0.914,0.914036
13,0.0001036474508437579,0.022176571407336323,0.9940460781775822,0.331474,0.909,0.909,0.907281
14,8.190142503906799e-05,0.01581526577215687,0.9963758736733109,0.251367,0.923,0.923,0.923046
15,6.183221215612905e-05,0.009864951921479861,0.9981879368366554,0.253949,0.918,0.918,0.917649
16,4.393398282201788e-05,0.00915595928382793,0.9984468030028475,0.264255,0.91,0.91,0.909528
17,2.86474508437579e-05,0.007044799798251417,0.9987056691690396,0.238821,0.928,0.928,0.927824
18,1.6349021371744834e-05,0.005541374545386233,0.9992234015014237,0.235947,0.926,0.926,0.925982
19,7.341522555726972e-06,0.005889560316320207,0.9989645353352317,0.23578,0.924,0.924,0.924058
20,1.8467489107293517e-06,0.006153058179372349,0.9994822676676158,0.231099,0.924,0.924,0.924069
