epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5218235013585556,0.8244887393217707,0.466831,0.851,0.851,0.852469
2,0.00029815325108927063,0.2582350352206688,0.9163862283199585,0.404579,0.878,0.878,0.878249
3,0.00029265847744427303,0.22080122062865545,0.9275174734662179,0.358865,0.89,0.89,0.890041
4,0.0002836509786282552,0.18078731530816822,0.9404607817758219,0.348744,0.892,0.892,0.892113
5,0.0002713525491562421,0.13610209521931316,0.9559927517473467,0.316263,0.896,0.896,0.89659
6,0.0002560660171779821,0.10326454626628224,0.966865130727414,0.276053,0.911,0.911,0.910992
7,0.000238167787843871,0.06482101233935005,0.9795495728708258,0.256375,0.917,0.917,0.917173
8,0.00021809857496093204,0.060087396695519435,0.98006730520321,0.279345,0.917,0.917,0.91731
9,0.00019635254915624216,0.04676000546801902,0.9847268961946674,0.329896,0.902,0.902,0.901544
10,0.00017346516975603468,0.037526189391782115,0.9914574165156614,0.299033,0.905,0.905,0.905786
11,0.00015000000000000001,0.03820334201698041,0.9891276210199327,0.281891,0.918,0.918,0.917962
12,0.0001265348302439654,0.03139967369959588,0.9899042195185089,0.269822,0.92,0.92,0.920222
13,0.0001036474508437579,0.011952959222684356,0.9976702045042712,0.251909,0.932,0.932,0.931716
14,8.190142503906799e-05,0.008224085208878148,0.9989645353352317,0.244812,0.932,0.932,0.932032
15,6.183221215612905e-05,0.008363526224149301,0.9987056691690396,0.253289,0.928,0.928,0.927762
16,4.393398282201788e-05,0.0077237508592656046,0.9979290706704633,0.252514,0.923,0.923,0.922976
17,2.86474508437579e-05,0.006868318447502296,0.9987056691690396,0.245268,0.928,0.928,0.927731
18,1.6349021371744834e-05,0.005673220235824975,0.9989645353352317,0.242954,0.927,0.927,0.926708
19,7.341522555726972e-06,0.005561509005216206,0.9989645353352317,0.238606,0.929,0.929,0.928786
20,1.8467489107293517e-06,0.006034613271980876,0.9979290706704633,0.255675,0.928,0.928,0.927704
