dataset,sample_id,finding,trusted_value,candidate_value
label_flip_05,classification/train/0/train_00139.png,label_changed,0,6
label_flip_05,classification/train/0/train_00206.png,label_changed,0,3
label_flip_05,classification/train/0/train_00412.png,label_changed,0,1
label_flip_05,classification/train/0/train_00577.png,label_changed,0,4
label_flip_05,classification/train/0/train_00676.png,label_changed,0,9
label_flip_05,classification/train/0/train_00963.png,label_changed,0,9
label_flip_05,classification/train/0/train_00998.png,label_changed,0,7
label_flip_05,classification/train/0/train_01894.png,label_changed,0,8
label_flip_05,classification/train/0/train_02132.png,label_changed,0,1
label_flip_05,classification/train/0/train_02677.png,label_changed,0,2
label_flip_05,classification/train/0/train_03022.png,label_changed,0,9
label_flip_05,classification/train/0/train_03058.png,label_changed,0,3
label_flip_05,classification/train/0/train_03314.png,label_changed,0,2
label_flip_05,classification/train/0/train_03432.png,label_changed,0,8
label_flip_05,classification/train/0/train_03603.png,label_changed,0,2
label_flip_05,classification/train/0/train_03849.png,label_changed,0,8
label_flip_05,classification/train/0/train_03920.png,label_changed,0,5
label_flip_05,classification/train/0/train_03951.png,label_changed,0,7
label_flip_05,classification/train/0/train_03962.png,label_changed,0,6
label_flip_05,classification/train/0/train_04041.png,label_changed,0,4
label_flip_05,classification/train/0/train_04245.png,label_changed,0,4
label_flip_05,classification/train/0/train_04360.png,label_changed,0,5
label_flip_05,classification/train/0/train_04643.png,label_changed,0,5
label_flip_05,classification/train/0/train_04854.png,label_changed,0,8
label_flip_05,classification/train/1/train_00020.png,label_changed,1,9
label_flip_05,classification/train/1/train_00531.png,label_changed,1,5
label_flip_05,classification/train/1/train_00541.png,label_changed,1,5
label_flip_05,classification/train/1/train_00901.png,label_changed,1,6
label_flip_05,classification/train/1/train_01071.png,label_changed,1,2
label_flip_05,classification/train/1/train_01232.png,label_changed,1,7
label_flip_05,classification/train/1/train_01350.png,label_changed,1,2
label_flip_05,classification/train/1/train_01542.png,label_changed,1,4
label_flip_05,classification/train/1/train_01886.png,label_changed,1,0
label_flip_05,classification/train/1/train_01895.png,label_changed,1,8
label_flip_05,classification/train/1/train_02028.png,label_changed,1,8
label_flip_05,classification/train/1/train_02701.png,label_changed,1,8
label_flip_05,classification/train/1/train_02951.png,label_changed,1,3
label_flip_05,classification/train/1/train_03145.png,label_changed,1,8
label_flip_05,classification/train/1/train_03545.png,label_changed,1,5
