epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.568985187292099,0.80825,0.485182,0.841,0.841,0.840854
2,0.00029815325108927063,0.2932137151956558,0.898,0.497576,0.847,0.847,0.844899
3,0.00029265847744427303,0.2229606007039547,0.9235,0.471391,0.86,0.86,0.858481
4,0.0002836509786282552,0.1770945339202881,0.9405,0.378757,0.892,0.892,0.890138
5,0.0002713525491562421,0.14264994210004805,0.95125,0.398018,0.881,0.881,0.880225
6,0.0002560660171779821,0.1061468131840229,0.9645,0.374983,0.898,0.898,0.898109
7,0.000238167787843871,0.08258146104216575,0.9725,0.341356,0.904,0.904,0.903844
8,0.00021809857496093204,0.067806823939085,0.97775,0.317596,0.909,0.909,0.90858
9,0.00019635254915624216,0.054639077931642535,0.98175,0.335304,0.903,0.903,0.902363
10,0.00017346516975603468,0.04754563999176025,0.986,0.300624,0.91,0.91,0.909938
11,0.00015000000000000001,0.02459930557012558,0.9935,0.325588,0.911,0.911,0.910424
12,0.0001265348302439654,0.016872798442840575,0.9955,0.257276,0.923,0.923,0.922953
13,0.0001036474508437579,0.011329637169837951,0.99775,0.269106,0.925,0.925,0.925045
14,8.190142503906799e-05,0.010318396478891373,0.99875,0.260179,0.926,0.926,0.925973
15,6.183221215612905e-05,0.008433120906352997,0.99775,0.275267,0.921,0.921,0.92112
16,4.393398282201788e-05,0.008279926806688308,0.99725,0.256376,0.929,0.929,0.928838
17,2.86474508437579e-05,0.007474550127983094,0.99775,0.255367,0.926,0.926,0.925845
18,1.6349021371744834e-05,0.006236833840608596,0.9985,0.252447,0.928,0.928,0.927875
19,7.341522555726972e-06,0.006944510251283646,0.998,0.257314,0.927,0.927,0.926985
20,1.8467489107293517e-06,0.006814081519842148,0.9985,0.25697,0.931,0.931,0.930865
