epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.087556719303131,0.6975,0.449282,0.861,0.861,0.860353
2,0.00029815325108927063,0.7876818377971649,0.794,0.458099,0.856,0.856,0.856123
3,0.00029265847744427303,0.6713992377519608,0.82475,0.739454,0.79,0.79,0.789487
4,0.0002836509786282552,0.5491246470212936,0.848,0.497374,0.854,0.854,0.854772
5,0.0002713525491562421,0.467192489027977,0.8635,0.641156,0.799,0.799,0.795583
6,0.0002560660171779821,0.33228796142339706,0.901,0.524904,0.845,0.845,0.845324
7,0.000238167787843871,0.2494649473428726,0.9225,0.56293,0.837,0.837,0.838288
8,0.00021809857496093204,0.19383632147312163,0.939,0.504821,0.851,0.851,0.850373
9,0.00019635254915624216,0.12255776429176331,0.9645,0.436032,0.866,0.866,0.865157
10,0.00017346516975603468,0.0898515048623085,0.97525,0.469563,0.869,0.869,0.86749
11,0.00015000000000000001,0.06292953997850419,0.983,0.414426,0.878,0.878,0.878272
12,0.0001265348302439654,0.04899570044875145,0.9895,0.345255,0.897,0.897,0.897493
13,0.0001036474508437579,0.03191182735562324,0.9935,0.367559,0.895,0.895,0.895164
14,8.190142503906799e-05,0.021577104538679122,0.996,0.333398,0.897,0.897,0.897329
15,6.183221215612905e-05,0.02050995349884033,0.996,0.34156,0.897,0.897,0.897219
16,4.393398282201788e-05,0.014261264979839325,0.99775,0.335463,0.902,0.902,0.902075
17,2.86474508437579e-05,0.016610322177410125,0.997,0.34576,0.906,0.906,0.906561
18,1.6349021371744834e-05,0.012394277483224869,0.99825,0.324702,0.903,0.903,0.903373
19,7.341522555726972e-06,0.011162511825561524,0.99825,0.329012,0.904,0.904,0.904249
20,1.8467489107293517e-06,0.011582202643156052,0.998,0.32969,0.906,0.906,0.906315
