epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6352683482170105,0.78125,0.497169,0.846,0.846,0.849394
2,0.00029815325108927063,0.35318623372912406,0.882,0.526271,0.82,0.82,0.818782
3,0.00029265847744427303,0.25448435425758364,0.9065,0.411159,0.874,0.874,0.872109
4,0.0002836509786282552,0.20656868383288385,0.92725,0.456188,0.853,0.853,0.852332
5,0.0002713525491562421,0.19654435467720033,0.9295,0.519388,0.833,0.833,0.833917
6,0.0002560660171779821,0.17314534512162208,0.941,0.33856,0.888,0.888,0.887838
7,0.000238167787843871,0.09724534085392952,0.96775,0.3697,0.869,0.869,0.86726
8,0.00021809857496093204,0.08808864778280258,0.9705,0.333335,0.892,0.892,0.891476
9,0.00019635254915624216,0.06771494805812836,0.978,0.334634,0.896,0.896,0.895413
10,0.00017346516975603468,0.04691646203398705,0.9865,0.315498,0.897,0.897,0.896169
11,0.00015000000000000001,0.03864628127217293,0.98875,0.360399,0.89,0.89,0.889246
12,0.0001265348302439654,0.03742636170983314,0.98875,0.269266,0.908,0.908,0.907935
13,0.0001036474508437579,0.02587141901254654,0.99225,0.268235,0.911,0.911,0.910592
14,8.190142503906799e-05,0.01612611123919487,0.9965,0.269553,0.91,0.91,0.910187
15,6.183221215612905e-05,0.012534063011407852,0.997,0.281097,0.908,0.908,0.907916
16,4.393398282201788e-05,0.009927922070026398,0.9975,0.273323,0.91,0.91,0.909729
17,2.86474508437579e-05,0.010133706271648406,0.9975,0.272715,0.908,0.908,0.907645
18,1.6349021371744834e-05,0.00927350029349327,0.998,0.267268,0.911,0.911,0.91069
19,7.341522555726972e-06,0.006684540420770645,0.9995,0.272833,0.909,0.909,0.908787
20,1.8467489107293517e-06,0.005944887191057205,0.99925,0.27692,0.906,0.906,0.905779
