epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5683662911653519,0.80925,0.489985,0.842,0.842,0.841637
2,0.00029815325108927063,0.30513867008686063,0.896,0.57278,0.839,0.839,0.835785
3,0.00029265847744427303,0.2168478519618511,0.927,0.364775,0.878,0.878,0.881422
4,0.0002836509786282552,0.17608636337518693,0.94225,0.364523,0.89,0.89,0.890617
5,0.0002713525491562421,0.14500734478235244,0.94925,0.354461,0.889,0.889,0.889288
6,0.0002560660171779821,0.12476705506443977,0.9555,0.340821,0.901,0.901,0.901101
7,0.000238167787843871,0.08357530048489571,0.97175,0.351879,0.888,0.888,0.886767
8,0.00021809857496093204,0.06859291878342628,0.98,0.297272,0.905,0.905,0.904609
9,0.00019635254915624216,0.0492922557592392,0.98625,0.311809,0.913,0.913,0.913254
10,0.00017346516975603468,0.03736759972572327,0.989,0.285176,0.914,0.914,0.914246
11,0.00015000000000000001,0.021984864711761476,0.994,0.24352,0.922,0.922,0.921864
12,0.0001265348302439654,0.02303027331829071,0.994,0.262069,0.924,0.924,0.923258
13,0.0001036474508437579,0.014201146215200425,0.9965,0.232235,0.926,0.926,0.92617
14,8.190142503906799e-05,0.012053612530231475,0.99725,0.209995,0.936,0.936,0.93567
15,6.183221215612905e-05,0.01042600804567337,0.99725,0.208801,0.937,0.937,0.936688
16,4.393398282201788e-05,0.0069354532659053805,0.99875,0.211587,0.938,0.938,0.937661
17,2.86474508437579e-05,0.009129866987466812,0.997,0.206315,0.939,0.939,0.938813
18,1.6349021371744834e-05,0.005311473071575165,0.99925,0.205367,0.942,0.942,0.94176
19,7.341522555726972e-06,0.006901622742414474,0.99825,0.201024,0.939,0.939,0.938631
20,1.8467489107293517e-06,0.0047704423367977145,0.9995,0.206403,0.937,0.937,0.936811
