epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5844678974393661,0.8086294416243655,0.407618,0.858,0.858,0.859217
2,0.00029815325108927063,0.29730793376864517,0.9005076142131979,0.409101,0.854,0.854,0.85357
3,0.00029265847744427303,0.2724519156865057,0.9104060913705584,0.375937,0.877,0.877,0.875769
4,0.0002836509786282552,0.18014907794555432,0.9418781725888324,0.362397,0.877,0.877,0.8752
5,0.0002713525491562421,0.13092971425976244,0.9583756345177665,0.394871,0.875,0.875,0.873447
6,0.0002560660171779821,0.11200208364404397,0.9631979695431472,0.334699,0.896,0.896,0.895673
7,0.000238167787843871,0.079433888529763,0.9753807106598985,0.275346,0.905,0.905,0.904526
8,0.00021809857496093204,0.054381430542408515,0.984263959390863,0.28421,0.92,0.92,0.919471
9,0.00019635254915624216,0.06845038977976378,0.9769035532994924,0.275972,0.906,0.906,0.905658
10,0.00017346516975603468,0.05233587341260184,0.983248730964467,0.269449,0.92,0.92,0.91991
11,0.00015000000000000001,0.06306229503021628,0.9781725888324873,0.272183,0.92,0.92,0.920277
12,0.0001265348302439654,0.034176320170388005,0.9911167512690355,0.270026,0.912,0.912,0.911717
13,0.0001036474508437579,0.020769839056857347,0.9946700507614213,0.271257,0.918,0.918,0.917813
14,8.190142503906799e-05,0.014297143638436564,0.9969543147208122,0.251811,0.922,0.922,0.922074
15,6.183221215612905e-05,0.017482516154419953,0.9967005076142132,0.233471,0.929,0.929,0.928823
16,4.393398282201788e-05,0.010790070210616601,0.9972081218274111,0.232697,0.93,0.93,0.929963
17,2.86474508437579e-05,0.012269040533733852,0.9974619289340102,0.232017,0.929,0.929,0.928604
18,1.6349021371744834e-05,0.008296683324775116,0.9989847715736041,0.243754,0.93,0.93,0.929773
19,7.341522555726972e-06,0.008469672886853291,0.9984771573604061,0.229859,0.929,0.929,0.928827
20,1.8467489107293517e-06,0.008331742322989527,0.998730964467005,0.230972,0.93,0.93,0.929979
