epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5692272981411309,0.8101522842639594,0.601507,0.806,0.806,0.805317
2,0.00029815325108927063,0.30260844799467757,0.8992385786802031,0.361827,0.883,0.883,0.881851
3,0.00029265847744427303,0.2350856243051248,0.9203045685279188,0.334631,0.886,0.886,0.886147
4,0.0002836509786282552,0.17685672350341294,0.9398477157360406,0.362104,0.883,0.883,0.881486
5,0.0002713525491562421,0.16715460861394854,0.9413705583756345,0.307217,0.901,0.901,0.900859
6,0.0002560660171779821,0.13547378212667358,0.9555837563451777,0.39768,0.881,0.881,0.881578
7,0.000238167787843871,0.07812973269956366,0.9766497461928934,0.311897,0.905,0.905,0.904157
8,0.00021809857496093204,0.05676658610402025,0.983756345177665,0.256616,0.921,0.921,0.921605
9,0.00019635254915624216,0.04872434916835146,0.9845177664974619,0.292473,0.917,0.917,0.917394
10,0.00017346516975603468,0.03915684014407511,0.9883248730964467,0.250264,0.927,0.927,0.926986
11,0.00015000000000000001,0.035180782091799125,0.9895939086294416,0.275804,0.918,0.918,0.918075
12,0.0001265348302439654,0.03175582501488894,0.9901015228426396,0.262181,0.918,0.918,0.918496
13,0.0001036474508437579,0.017953559862175568,0.9951776649746192,0.24975,0.919,0.919,0.919452
14,8.190142503906799e-05,0.016110366340821164,0.9967005076142132,0.248362,0.925,0.925,0.925033
15,6.183221215612905e-05,0.009379882618860545,0.9979695431472081,0.240062,0.922,0.922,0.921964
16,4.393398282201788e-05,0.007765400107136838,0.9984771573604061,0.247097,0.924,0.924,0.92416
17,2.86474508437579e-05,0.006829806118447163,0.999746192893401,0.247741,0.922,0.922,0.922076
18,1.6349021371744834e-05,0.006929375768312948,0.9989847715736041,0.243097,0.927,0.927,0.927014
19,7.341522555726972e-06,0.005470737860287507,0.9989847715736041,0.241323,0.924,0.924,0.923978
20,1.8467489107293517e-06,0.006687576425862192,0.998730964467005,0.240233,0.924,0.924,0.924224
