epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.8746072969436646,0.75125,0.635828,0.791,0.791,0.790578
2,0.00029815325108927063,0.5869122314453125,0.84325,0.383711,0.878,0.878,0.877914
3,0.00029265847744427303,0.46876570296287534,0.87525,0.430384,0.866,0.866,0.867226
4,0.0002836509786282552,0.3801382346749306,0.8945,0.550545,0.84,0.84,0.838521
5,0.0002713525491562421,0.294977990090847,0.9135,0.462676,0.857,0.857,0.857102
6,0.0002560660171779821,0.22465716314315795,0.929,0.545868,0.862,0.862,0.863404
7,0.000238167787843871,0.179091513723135,0.9435,0.344309,0.893,0.893,0.892739
8,0.00021809857496093204,0.13080209782719612,0.964,0.384327,0.877,0.877,0.876804
9,0.00019635254915624216,0.08283230885863305,0.97525,0.411578,0.885,0.885,0.885028
10,0.00017346516975603468,0.06959350800514222,0.981,0.330891,0.909,0.909,0.909057
11,0.00015000000000000001,0.05058660101890564,0.98425,0.279013,0.912,0.912,0.911713
12,0.0001265348302439654,0.03408091452717781,0.9895,0.342915,0.902,0.902,0.901962
13,0.0001036474508437579,0.02358584237098694,0.994,0.320343,0.912,0.912,0.911793
14,8.190142503906799e-05,0.017489379823207855,0.9965,0.281767,0.916,0.916,0.915779
15,6.183221215612905e-05,0.011952345192432403,0.99875,0.283067,0.912,0.912,0.911342
16,4.393398282201788e-05,0.009976298600435257,0.99875,0.275067,0.914,0.914,0.913623
17,2.86474508437579e-05,0.008323736369609832,0.9995,0.274451,0.918,0.918,0.917749
18,1.6349021371744834e-05,0.009809638887643813,0.99825,0.272882,0.917,0.917,0.91668
19,7.341522555726972e-06,0.0080019071996212,0.9995,0.262314,0.918,0.918,0.917777
20,1.8467489107293517e-06,0.007414180278778076,0.99875,0.264503,0.912,0.912,0.911671
