epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5670326762070393,0.8070456365092074,0.57188,0.801,0.801,0.802187
2,0.00029815325108927063,0.2903240912471862,0.8983186549239391,0.436629,0.863,0.863,0.862494
3,0.00029265847744427303,0.21051065753802384,0.9343474779823859,0.587354,0.827,0.827,0.819815
4,0.0002836509786282552,0.1714386119822168,0.9458233253269283,0.336877,0.9,0.9,0.898783
5,0.0002713525491562421,0.1501284539977932,0.951694689084601,0.336155,0.901,0.901,0.901548
6,0.0002560660171779821,0.11392495910231196,0.9655724579663731,0.428432,0.88,0.88,0.877897
7,0.000238167787843871,0.11266820401168041,0.9639711769415532,0.320407,0.903,0.903,0.903079
8,0.00021809857496093204,0.10002635019697888,0.969842540699226,0.309226,0.91,0.91,0.910014
9,0.00019635254915624216,0.0436083471374191,0.9869228716306379,0.301551,0.91,0.91,0.909881
10,0.00017346516975603468,0.04210494233984803,0.9885241526554577,0.25488,0.913,0.913,0.912471
11,0.00015000000000000001,0.028857055809900604,0.992260475046704,0.286134,0.911,0.911,0.910845
12,0.0001265348302439654,0.044926405048446715,0.9869228716306379,0.277559,0.915,0.915,0.914638
13,0.0001036474508437579,0.021670376358507538,0.9933279957299173,0.272501,0.916,0.916,0.915921
14,8.190142503906799e-05,0.013917404872944173,0.9970643181211636,0.278495,0.92,0.92,0.91988
15,6.183221215612905e-05,0.021882535491068108,0.9946623965839338,0.270709,0.92,0.92,0.919851
16,4.393398282201788e-05,0.011770742940153477,0.9973311982919669,0.266501,0.917,0.917,0.916592
17,2.86474508437579e-05,0.010869646280375614,0.9973311982919669,0.258001,0.925,0.925,0.924854
18,1.6349021371744834e-05,0.008905421424988177,0.9981318388043768,0.253787,0.922,0.922,0.921763
19,7.341522555726972e-06,0.010913683170632169,0.9970643181211636,0.252477,0.922,0.922,0.921776
20,1.8467489107293517e-06,0.007285300971334191,0.9983987189751802,0.247885,0.92,0.92,0.919776
