epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.097562141074984,0.6975239167135622,0.459633,0.851,0.851,0.851074
2,0.00029815325108927063,0.7734194810831889,0.8002250984805852,0.537406,0.855,0.855,0.853032
3,0.00029265847744427303,0.6612460652159786,0.8221722003376477,0.556177,0.84,0.84,0.839697
4,0.0002836509786282552,0.5659629804872031,0.8376477208778841,0.453546,0.872,0.872,0.871044
5,0.0002713525491562421,0.4274258490150808,0.8784468204839617,0.584102,0.819,0.819,0.819566
6,0.0002560660171779821,0.33009189947575884,0.9009566685424873,0.530244,0.852,0.852,0.852683
7,0.000238167787843871,0.31725741958913334,0.899268429938098,0.490494,0.856,0.856,0.8569
8,0.00021809857496093204,0.23725017886787034,0.9290939786156444,0.490375,0.86,0.86,0.860697
9,0.00019635254915624216,0.20896029365015756,0.9361283061339336,0.460496,0.872,0.872,0.872686
10,0.00017346516975603468,0.10284589349250815,0.9707371975239167,0.460089,0.856,0.856,0.85527
11,0.00015000000000000001,0.11919516110326309,0.9651097355092854,0.438826,0.875,0.875,0.875542
12,0.0001265348302439654,0.07169929641515402,0.979741136747327,0.395722,0.892,0.892,0.89237
13,0.0001036474508437579,0.05591878840006934,0.9864940911648846,0.425274,0.882,0.882,0.881344
14,8.190142503906799e-05,0.04446557286621549,0.9895891952729319,0.390173,0.893,0.893,0.892832
15,6.183221215612905e-05,0.043534574645519526,0.9909960607765897,0.388488,0.893,0.893,0.892774
16,4.393398282201788e-05,0.030566171440571027,0.9943725379853686,0.372191,0.89,0.89,0.889549
17,2.86474508437579e-05,0.03060105756621181,0.9943725379853686,0.365179,0.9,0.9,0.899805
18,1.6349021371744834e-05,0.0216493045404914,0.9957794034890265,0.35795,0.896,0.896,0.896056
19,7.341522555726972e-06,0.021385016405119545,0.9966235227912211,0.358567,0.897,0.897,0.896814
20,1.8467489107293517e-06,0.017460394321564012,0.998030388294879,0.356954,0.903,0.903,0.902594
