epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6291905629634857,0.795,0.446059,0.861,0.861,0.859464
2,0.00029815325108927063,0.3649173640012741,0.872,0.354104,0.881,0.881,0.88058
3,0.00029265847744427303,0.27523492369055746,0.90825,0.426889,0.864,0.864,0.86535
4,0.0002836509786282552,0.22161653554439545,0.92325,0.336354,0.889,0.889,0.887794
5,0.0002713525491562421,0.1698955999314785,0.94075,0.416595,0.867,0.867,0.865565
6,0.0002560660171779821,0.16353545543551445,0.943,0.361344,0.887,0.887,0.88716
7,0.000238167787843871,0.12369136574864388,0.9575,0.32399,0.907,0.907,0.906338
8,0.00021809857496093204,0.09603814262151718,0.9685,0.392272,0.873,0.873,0.870342
9,0.00019635254915624216,0.07631872847676277,0.974,0.343375,0.893,0.893,0.893266
10,0.00017346516975603468,0.05916844832897186,0.982,0.371024,0.887,0.887,0.886596
11,0.00015000000000000001,0.038644934743642806,0.9895,0.268301,0.91,0.91,0.910312
12,0.0001265348302439654,0.02486288744211197,0.99375,0.275484,0.915,0.915,0.914769
13,0.0001036474508437579,0.0180798536837101,0.99525,0.254805,0.926,0.926,0.92582
14,8.190142503906799e-05,0.023102319419384003,0.99175,0.260837,0.919,0.919,0.9188
15,6.183221215612905e-05,0.013218530237674712,0.99775,0.256921,0.922,0.922,0.92165
16,4.393398282201788e-05,0.009827942222356795,0.99825,0.269492,0.915,0.915,0.914897
17,2.86474508437579e-05,0.009434939563274384,0.99825,0.239542,0.922,0.922,0.921922
18,1.6349021371744834e-05,0.006393058657646179,0.99975,0.257951,0.921,0.921,0.920771
19,7.341522555726972e-06,0.006487040787935257,0.9995,0.248932,0.927,0.927,0.926716
20,1.8467489107293517e-06,0.005029946625232697,1.0,0.261658,0.921,0.921,0.921131
