epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6258153234958772,0.7866942790577272,0.507724,0.83,0.83,0.824231
2,0.00029815325108927063,0.3360165485887061,0.8845456898783329,0.421517,0.873,0.873,0.873597
3,0.00029265847744427303,0.2791436942568598,0.9049961170075072,0.394002,0.878,0.878,0.879767
4,0.0002836509786282552,0.24809317502747413,0.9137975666580378,0.426185,0.866,0.866,0.867107
5,0.0002713525491562421,0.15970678298454224,0.9453792389334714,0.340575,0.883,0.883,0.882953
6,0.0002560660171779821,0.1773074068478158,0.937613253947709,0.402581,0.874,0.874,0.873472
7,0.000238167787843871,0.13046808004255836,0.960393476572612,0.365681,0.889,0.889,0.888319
8,0.00021809857496093204,0.09692155413325744,0.9655707998964536,0.343586,0.891,0.891,0.890389
9,0.00019635254915624216,0.06948598996942722,0.9782552420398654,0.295235,0.905,0.905,0.904188
10,0.00017346516975603468,0.03882746740986639,0.9888687548537406,0.284667,0.911,0.911,0.910887
11,0.00015000000000000001,0.03869653393210925,0.9880921563551643,0.309099,0.907,0.907,0.906567
12,0.0001265348302439654,0.0336761565643565,0.990163085684701,0.278346,0.923,0.923,0.9226
13,0.0001036474508437579,0.02290896233123007,0.9927517473466217,0.311423,0.904,0.904,0.903203
14,8.190142503906799e-05,0.016377100074403867,0.9968936060056951,0.258791,0.923,0.923,0.923345
15,6.183221215612905e-05,0.010252870742734035,0.9981879368366554,0.242781,0.926,0.926,0.926163
16,4.393398282201788e-05,0.009626917847690883,0.9976702045042712,0.261783,0.923,0.923,0.922563
17,2.86474508437579e-05,0.008520662925371751,0.9989645353352317,0.247613,0.92,0.92,0.919742
18,1.6349021371744834e-05,0.007199322192927515,0.9989645353352317,0.248576,0.926,0.926,0.926047
19,7.341522555726972e-06,0.006480240712673776,0.9987056691690396,0.254036,0.921,0.921,0.920746
20,1.8467489107293517e-06,0.008037105422908666,0.9979290706704633,0.251246,0.922,0.922,0.921561
