epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5724553877115249,0.811,0.39453,0.86,0.86,0.860912
2,0.00029815325108927063,0.28342195266485215,0.90675,0.45168,0.852,0.852,0.850474
3,0.00029265847744427303,0.23730417972803117,0.921,0.390267,0.877,0.877,0.879554
4,0.0002836509786282552,0.1700560720860958,0.94025,0.347382,0.902,0.902,0.90209
5,0.0002713525491562421,0.13870571073889731,0.9525,0.330971,0.906,0.906,0.906011
6,0.0002560660171779821,0.1267063014805317,0.959,0.376361,0.882,0.882,0.882881
7,0.000238167787843871,0.08909998464584351,0.96975,0.327385,0.899,0.899,0.898365
8,0.00021809857496093204,0.06280923163890839,0.9805,0.308365,0.908,0.908,0.908065
9,0.00019635254915624216,0.0474136073589325,0.9875,0.284394,0.917,0.917,0.917236
10,0.00017346516975603468,0.036018858730792996,0.9915,0.290352,0.906,0.906,0.906123
11,0.00015000000000000001,0.03356203210353852,0.989,0.244977,0.926,0.926,0.925698
12,0.0001265348302439654,0.023129735112190245,0.9925,0.235862,0.933,0.933,0.933023
13,0.0001036474508437579,0.015958439946174623,0.995,0.244134,0.933,0.933,0.932854
14,8.190142503906799e-05,0.016618151634931563,0.996,0.220352,0.933,0.933,0.932913
15,6.183221215612905e-05,0.010079409271478653,0.99775,0.229227,0.938,0.938,0.93794
16,4.393398282201788e-05,0.008726621448993683,0.99825,0.211198,0.942,0.942,0.941896
17,2.86474508437579e-05,0.01146909523010254,0.9965,0.209813,0.944,0.944,0.944028
18,1.6349021371744834e-05,0.004837325632572174,0.9995,0.207646,0.935,0.935,0.935112
19,7.341522555726972e-06,0.006670758932828903,0.99825,0.204887,0.943,0.943,0.942904
20,1.8467489107293517e-06,0.005166337490081787,0.99875,0.210508,0.94,0.94,0.940076
