epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5827272141645402,0.8030456852791878,0.475089,0.83,0.83,0.826059
2,0.00029815325108927063,0.33229594738955426,0.8873096446700508,0.390401,0.867,0.867,0.86422
3,0.00029265847744427303,0.2519493014376781,0.9114213197969543,0.455026,0.858,0.858,0.858863
4,0.0002836509786282552,0.19303866316219273,0.9395939086294416,0.331556,0.887,0.887,0.886077
5,0.0002713525491562421,0.18833091479872688,0.9385786802030457,0.340947,0.887,0.887,0.885393
6,0.0002560660171779821,0.11979891482343528,0.9588832487309644,0.404517,0.88,0.88,0.877649
7,0.000238167787843871,0.08665790267402146,0.9695431472081218,0.279328,0.913,0.913,0.913365
8,0.00021809857496093204,0.08042024268111601,0.9723350253807107,0.304874,0.902,0.902,0.901808
9,0.00019635254915624216,0.12092675748210267,0.9591370558375635,0.328147,0.905,0.905,0.904888
10,0.00017346516975603468,0.07034012052008343,0.9789340101522843,0.30334,0.908,0.908,0.9074
11,0.00015000000000000001,0.05951076988036257,0.9862944162436548,0.280789,0.91,0.91,0.90943
12,0.0001265348302439654,0.018540574360619948,0.9959390862944163,0.246424,0.923,0.923,0.922917
13,0.0001036474508437579,0.018057975520942418,0.9961928934010152,0.26496,0.916,0.916,0.915604
14,8.190142503906799e-05,0.011389903005609658,0.9984771573604061,0.241109,0.92,0.92,0.919718
15,6.183221215612905e-05,0.01195542500708914,0.9979695431472081,0.245571,0.922,0.922,0.921582
16,4.393398282201788e-05,0.007236279539650467,0.9989847715736041,0.239145,0.927,0.927,0.926563
17,2.86474508437579e-05,0.00750163533360825,0.999238578680203,0.224594,0.923,0.923,0.922646
18,1.6349021371744834e-05,0.007139983395029446,0.999238578680203,0.232577,0.922,0.922,0.921728
19,7.341522555726972e-06,0.0075574688802515794,0.9984771573604061,0.226656,0.924,0.924,0.923526
20,1.8467489107293517e-06,0.006830022056695774,0.9984771573604061,0.223088,0.926,0.926,0.925864
