epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5532437957482894,0.8114213197969543,0.476965,0.841,0.841,0.843301
2,0.00029815325108927063,0.3202800720476257,0.8906091370558376,0.345359,0.876,0.876,0.877359
3,0.00029265847744427303,0.22194010591143884,0.9243654822335026,0.294673,0.898,0.898,0.897921
4,0.0002836509786282552,0.1461756486578036,0.949238578680203,0.372787,0.878,0.878,0.879336
5,0.0002713525491562421,0.16174280700949847,0.9446700507614213,0.586355,0.828,0.828,0.832469
6,0.0002560660171779821,0.10949129801111172,0.9639593908629441,0.311107,0.902,0.902,0.902149
7,0.000238167787843871,0.08961814690362378,0.9728426395939086,0.309985,0.907,0.907,0.907222
8,0.00021809857496093204,0.09873485601492944,0.9682741116751269,0.32742,0.893,0.893,0.892879
9,0.00019635254915624216,0.06379366704655177,0.98248730964467,0.289952,0.912,0.912,0.912405
10,0.00017346516975603468,0.05749361884170377,0.9819796954314721,0.287548,0.917,0.917,0.91677
11,0.00015000000000000001,0.05334985861318366,0.9850253807106599,0.274524,0.909,0.909,0.908633
12,0.0001265348302439654,0.051590873444745985,0.9845177664974619,0.242591,0.927,0.927,0.926805
13,0.0001036474508437579,0.026009538663825407,0.9921319796954314,0.254969,0.918,0.918,0.917624
14,8.190142503906799e-05,0.023447221820124514,0.9928934010152284,0.234905,0.932,0.932,0.931849
15,6.183221215612905e-05,0.012535897910897502,0.9967005076142132,0.219833,0.932,0.932,0.931808
16,4.393398282201788e-05,0.013212870764853385,0.9969543147208122,0.229412,0.923,0.923,0.923017
17,2.86474508437579e-05,0.011948250816558217,0.9961928934010152,0.219929,0.932,0.932,0.931709
18,1.6349021371744834e-05,0.009945387162532904,0.998730964467005,0.224,0.93,0.93,0.929874
19,7.341522555726972e-06,0.01316329954844441,0.9969543147208122,0.221215,0.931,0.931,0.930621
20,1.8467489107293517e-06,0.008458281410527109,0.998730964467005,0.231894,0.931,0.931,0.930727
