epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5535454104861037,0.808380037363224,0.386803,0.871,0.871,0.870375
2,0.00029815325108927063,0.31047520688097413,0.8919135308246597,0.318617,0.875,0.875,0.874459
3,0.00029265847744427303,0.21893205485138412,0.9284761142247131,0.421444,0.867,0.867,0.867257
4,0.0002836509786282552,0.1917065881771312,0.9359487590072058,0.352505,0.883,0.883,0.882546
5,0.0002713525491562421,0.15329909868650726,0.9487590072057646,0.441885,0.878,0.878,0.874672
6,0.0002560660171779821,0.11766364999475369,0.9580998131838805,0.327442,0.897,0.897,0.896433
7,0.000238167787843871,0.08234408754713222,0.9727782225780625,0.400926,0.884,0.884,0.881935
8,0.00021809857496093204,0.09004285891222451,0.9730451027488658,0.359959,0.894,0.894,0.895016
9,0.00019635254915624216,0.06661851284565658,0.977582065652522,0.297312,0.919,0.919,0.918375
10,0.00017346516975603468,0.06940325225318413,0.9797171070189485,0.286511,0.916,0.916,0.91623
11,0.00015000000000000001,0.026969246270146477,0.9930611155591139,0.309761,0.916,0.916,0.915571
12,0.0001265348302439654,0.024617265487372603,0.9933279957299173,0.327462,0.913,0.913,0.913394
13,0.0001036474508437579,0.031915962234763805,0.9919935948759008,0.28502,0.912,0.912,0.911959
14,8.190142503906799e-05,0.03756544151829821,0.9882572724846543,0.26026,0.917,0.917,0.916808
15,6.183221215612905e-05,0.01691938744629737,0.9967974379503602,0.275041,0.904,0.904,0.90374
16,4.393398282201788e-05,0.01846491065638004,0.996530557779557,0.275511,0.913,0.913,0.912793
17,2.86474508437579e-05,0.01105646845930106,0.9973311982919669,0.263207,0.913,0.913,0.913145
18,1.6349021371744834e-05,0.012439485355984983,0.9970643181211636,0.252532,0.916,0.916,0.916142
19,7.341522555726972e-06,0.008575319639109583,0.9986655991459834,0.249066,0.916,0.916,0.915786
20,1.8467489107293517e-06,0.007529317266883168,0.9986655991459834,0.249877,0.916,0.916,0.915951
