epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.120269715309143,0.69275,0.478438,0.856,0.856,0.855308
2,0.00029815325108927063,0.7886514596939087,0.79875,0.480142,0.864,0.864,0.863386
3,0.00029265847744427303,0.6520550078153611,0.82775,0.550409,0.836,0.836,0.834627
4,0.0002836509786282552,0.5711354305744171,0.84025,0.462642,0.868,0.868,0.868658
5,0.0002713525491562421,0.4398502354621887,0.8705,0.468427,0.863,0.863,0.862732
6,0.0002560660171779821,0.308964257478714,0.9105,0.587073,0.821,0.821,0.820554
7,0.000238167787843871,0.24179795956611633,0.922,0.480942,0.852,0.852,0.852577
8,0.00021809857496093204,0.20810535320639612,0.9355,0.49949,0.84,0.84,0.84057
9,0.00019635254915624216,0.13463655537366867,0.961,0.435216,0.873,0.873,0.872669
10,0.00017346516975603468,0.09550326970219612,0.972,0.400345,0.89,0.89,0.890321
11,0.00015000000000000001,0.05411991134285927,0.9885,0.393605,0.885,0.885,0.885636
12,0.0001265348302439654,0.04410545325279236,0.9915,0.353457,0.894,0.894,0.893948
13,0.0001036474508437579,0.02892509236931801,0.99375,0.352792,0.889,0.889,0.888958
14,8.190142503906799e-05,0.025928195178508757,0.99425,0.34119,0.9,0.9,0.900038
15,6.183221215612905e-05,0.01800147330760956,0.997,0.323179,0.904,0.904,0.903647
16,4.393398282201788e-05,0.01673849853873253,0.9955,0.320362,0.902,0.902,0.901677
17,2.86474508437579e-05,0.014113626062870026,0.99725,0.3095,0.907,0.907,0.907016
18,1.6349021371744834e-05,0.013732753962278367,0.998,0.309596,0.906,0.906,0.906019
19,7.341522555726972e-06,0.013402001082897186,0.99725,0.310184,0.908,0.908,0.90795
20,1.8467489107293517e-06,0.011088695108890533,0.99825,0.311516,0.906,0.906,0.906108
