epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,1.0971078480906746,0.6997749015194148,0.61283,0.811,0.811,0.809075
2,0.00029815325108927063,0.806329274217802,0.7926280247608328,0.515761,0.846,0.846,0.840508
3,0.00029265847744427303,0.6467937261251901,0.8308947664603263,0.527774,0.848,0.848,0.844987
4,0.0002836509786282552,0.5475730944296988,0.8469330332020258,0.687496,0.783,0.783,0.779933
5,0.0002713525491562421,0.45014443569258483,0.8660664040517726,0.551731,0.837,0.837,0.837328
6,0.0002560660171779821,0.4005116894463843,0.8798536859876196,0.514207,0.844,0.844,0.843922
7,0.000238167787843871,0.2875641677979344,0.915588069780529,0.529455,0.854,0.854,0.853661
8,0.00021809857496093204,0.23442882530865,0.9259988745075971,0.447183,0.867,0.867,0.866707
9,0.00019635254915624216,0.16301665644197566,0.9507597073719752,0.451712,0.863,0.863,0.864225
10,0.00017346516975603468,0.13700077593427196,0.9563871693866066,0.520259,0.847,0.847,0.847212
11,0.00015000000000000001,0.078824211454955,0.9828362408553742,0.422425,0.869,0.869,0.868782
12,0.0001265348302439654,0.05047868682751846,0.9893078221722004,0.378344,0.892,0.892,0.892166
13,0.0001036474508437579,0.05209376145160527,0.9879009566685425,0.41036,0.882,0.882,0.883044
14,8.190142503906799e-05,0.03931668372253521,0.992121553179516,0.400938,0.886,0.886,0.885843
15,6.183221215612905e-05,0.03114879295674347,0.9946539110861001,0.365785,0.898,0.898,0.898235
16,4.393398282201788e-05,0.023022214649900265,0.9966235227912211,0.367799,0.902,0.902,0.902042
17,2.86474508437579e-05,0.02369114754907053,0.9954980303882949,0.369531,0.896,0.896,0.89594
18,1.6349021371744834e-05,0.019970862028232502,0.9971862689926843,0.353457,0.897,0.897,0.896829
19,7.341522555726972e-06,0.018403047682129404,0.9974676420934159,0.369808,0.903,0.903,0.903333
20,1.8467489107293517e-06,0.01886364259140238,0.9966235227912211,0.365141,0.899,0.899,0.898729
