epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6259966758489609,0.7865,0.557237,0.793,0.793,0.788949
2,0.00029815325108927063,0.3372027050256729,0.8855,0.475231,0.855,0.855,0.854627
3,0.00029265847744427303,0.29323334866762163,0.89475,0.398002,0.872,0.872,0.873041
4,0.0002836509786282552,0.215517737865448,0.92525,0.387548,0.887,0.887,0.885716
5,0.0002713525491562421,0.18879945769906045,0.932,0.403802,0.875,0.875,0.876496
6,0.0002560660171779821,0.14864105096459387,0.9485,0.35011,0.891,0.891,0.891584
7,0.000238167787843871,0.10243627750873566,0.966,0.324029,0.898,0.898,0.897711
8,0.00021809857496093204,0.08895683693885803,0.97175,0.417213,0.871,0.871,0.869559
9,0.00019635254915624216,0.06793100839853286,0.9775,0.347253,0.888,0.888,0.888271
10,0.00017346516975603468,0.056668363064527515,0.98125,0.355214,0.892,0.892,0.891015
11,0.00015000000000000001,0.03854841804504395,0.98775,0.312971,0.905,0.905,0.904415
12,0.0001265348302439654,0.02960403120517731,0.99075,0.29186,0.91,0.91,0.909791
13,0.0001036474508437579,0.02204434809088707,0.995,0.335965,0.898,0.898,0.897353
14,8.190142503906799e-05,0.012998946845531463,0.9975,0.326751,0.897,0.897,0.895941
15,6.183221215612905e-05,0.012070545583963393,0.9965,0.284999,0.92,0.92,0.919572
16,4.393398282201788e-05,0.009877431362867355,0.998,0.299121,0.905,0.905,0.904007
17,2.86474508437579e-05,0.011647051095962525,0.99675,0.316628,0.907,0.907,0.906387
18,1.6349021371744834e-05,0.00810359525680542,0.99825,0.297319,0.913,0.913,0.91259
19,7.341522555726972e-06,0.007798973888158798,0.99825,0.288264,0.916,0.916,0.915811
20,1.8467489107293517e-06,0.007513376981019974,0.999,0.295686,0.914,0.914,0.913829
