epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.6418030928630394,0.779704892570541,0.456854,0.816,0.816,0.819152
2,0.00029815325108927063,0.34168424533495406,0.8811804297178358,0.562407,0.83,0.83,0.830345
3,0.00029265847744427303,0.2679419494526947,0.9065493140046595,0.382009,0.878,0.878,0.878797
4,0.0002836509786282552,0.2276976365579662,0.917680559150919,0.334064,0.896,0.896,0.895956
5,0.0002713525491562421,0.19626755439614868,0.9233756148071447,0.426944,0.873,0.873,0.871823
6,0.0002560660171779821,0.15843703776478396,0.9446026404348952,0.371299,0.888,0.888,0.886688
7,0.000238167787843871,0.1319216482694242,0.9567693502459229,0.287298,0.903,0.903,0.90317
8,0.00021809857496093204,0.09036511852816538,0.9676417292259901,0.325941,0.884,0.884,0.884453
9,0.00019635254915624216,0.06066666388849952,0.9798084390370179,0.325048,0.89,0.89,0.888429
10,0.00017346516975603468,0.05384124879593402,0.9813616360341704,0.279658,0.909,0.909,0.908701
11,0.00015000000000000001,0.03533517915216438,0.9911985503494694,0.257586,0.92,0.92,0.919779
12,0.0001265348302439654,0.03389480537971192,0.9888687548537406,0.29278,0.913,0.913,0.912781
13,0.0001036474508437579,0.024592744635426253,0.9919751488480456,0.291345,0.903,0.903,0.902879
14,8.190142503906799e-05,0.019705941813819277,0.9940460781775822,0.265463,0.914,0.914,0.91418
15,6.183221215612905e-05,0.013390410788899224,0.9971524721718872,0.244804,0.925,0.925,0.924888
16,4.393398282201788e-05,0.010177761755320513,0.9984468030028475,0.254985,0.921,0.921,0.92092
17,2.86474508437579e-05,0.007139345571695755,0.9989645353352317,0.249611,0.926,0.926,0.926026
18,1.6349021371744834e-05,0.008361836680115415,0.9979290706704633,0.239787,0.925,0.925,0.924889
19,7.341522555726972e-06,0.006693996669020125,0.9987056691690396,0.260576,0.921,0.921,0.920949
20,1.8467489107293517e-06,0.007308234922636572,0.9987056691690396,0.247744,0.918,0.918,0.917904
