epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
1,0.0003,0.5474789187045965,0.8138752265078955,0.417376,0.856,0.856,0.852578
2,0.00029815325108927063,0.27296449026850383,0.9070670463370437,0.465309,0.852,0.852,0.852715
3,0.00029265847744427303,0.221013810199189,0.9259642764690655,0.455513,0.86,0.86,0.860066
4,0.0002836509786282552,0.16994869800049686,0.9409785141082061,0.392925,0.877,0.877,0.876587
5,0.0002713525491562421,0.1290114886428049,0.9567693502459229,0.506117,0.87,0.87,0.870068
6,0.0002560660171779821,0.1148082648034837,0.9647942013978773,0.284394,0.911,0.911,0.911481
7,0.000238167787843871,0.07307760101732676,0.9787729743722495,0.372721,0.895,0.895,0.894758
8,0.00021809857496093204,0.07178610830403596,0.9761843127103288,0.396316,0.876,0.876,0.874737
9,0.00019635254915624216,0.05468426463503989,0.9852446285270515,0.252109,0.924,0.924,0.923889
10,0.00017346516975603468,0.03333222543000558,0.9904219518508931,0.263183,0.926,0.926,0.926238
11,0.00015000000000000001,0.024155315133248034,0.9924928811804297,0.276106,0.92,0.92,0.919948
12,0.0001265348302439654,0.02219743723046867,0.9937872120113901,0.321329,0.917,0.917,0.91691
13,0.0001036474508437579,0.017473719946590693,0.9953404090085426,0.292126,0.913,0.913,0.912757
14,8.190142503906799e-05,0.011691140998961317,0.9968936060056951,0.294669,0.918,0.918,0.917696
15,6.183221215612905e-05,0.009812638359571055,0.9981879368366554,0.272777,0.927,0.927,0.926508
16,4.393398282201788e-05,0.010082586330366246,0.996634739839503,0.262411,0.926,0.926,0.925792
17,2.86474508437579e-05,0.005448794939272914,0.9997411338338079,0.245131,0.927,0.927,0.926747
18,1.6349021371744834e-05,0.006799171170199708,0.9987056691690396,0.249791,0.928,0.928,0.927809
19,7.341522555726972e-06,0.005552896525090743,0.9992234015014237,0.245436,0.928,0.928,0.927927
20,1.8467489107293517e-06,0.005803792642315195,0.9981879368366554,0.247404,0.928,0.928,0.92773
